#separator:tab
#html:true
#columns:Front	Back	Tags
Базовые компоненты в Jetpack Compose?	<ul><li><b>Row</b>. Горизонтальный контейнер, размещает элементы в одну строку.</li><pre><code class="language-kotlin">    Row(<br>        horizontalArrangement = Arrangement.spacedBy(8.dp),<br>        verticalAlignment = Alignment.CenterVertically<br>    ) {<br>        Text("A")<br>        Text("B")<br>        Text("C")<br>    }</code></pre></ul><ul><li><b>Column</b>. Вертикальный контейнер, размещает элементы сверху вниз.</li><pre><code class="language-kotlin">    Column(<br>        verticalArrangement = Arrangement.spacedBy(8.dp),<br>        horizontalAlignment = Alignment.CenterHorizontally<br>    ) {<br>        Text("Item 1")<br>        Text("Item 2")<br>        Text("Item 3")<br>    }</code></pre></ul><ul><li><b>Box</b>. Наложение элементов друг на друга, управление позиционированием через <code>Modifier.align</code>.</li><pre><code class="language-kotlin">    Box(Modifier.size(100.dp)) {<br>        Text("Bottom", Modifier.align(Alignment.BottomEnd))<br>        Text("Top", Modifier.align(Alignment.TopStart))<br>    }</code></pre></ul><ul><li><b>Spacer</b>. Пустой элемент для отступов или разделения.</li><pre><code class="language-kotlin">    Column {<br>        Text("Top")<br>        Spacer(Modifier.height(16.dp))<br>        Text("Bottom")<br>    }</code></pre></ul>	android_interview jetpack_compose
Адаптивные компоненты в Compose?	<p><b>BoxWithConstraints</b>. Как <code>Box</code>, но предоставляет доступ к <code>maxWidth</code>, <code>maxHeight</code> и другим ограничениям. Позволяет адаптировать контент под доступное место.</p><pre><code class="language-kotlin">    @Composable<br>    fun AdaptiveCard() = BoxWithConstraints {<br>        if (maxWidth &lt; 400.dp) CompactCard() else WideCard()<br>    }</code></pre>	android_interview jetpack_compose
Что такое FlowRow и FlowColumn?	<ul><li><b>FlowRow</b> / <b>FlowColumn</b>. Автоматически переносят элементы на новую строку или колонку при нехватке места.</li><pre><code class="language-kotlin">    @OptIn(ExperimentalLayoutApi::class)<br>    @Composable<br>    fun Chips(tags: List&lt;String&gt;) {<br>        FlowRow(<br>            horizontalArrangement = Arrangement.spacedBy(8.dp),<br>            verticalArrangement = Arrangement.spacedBy(8.dp)<br>        ) {<br>            tags.forEach { Text(it, Modifier.background(Color.LightGray).padding(4.dp)) }<br>        }<br>    }</code></pre></ul>	android_interview jetpack_compose
Какие есть альтернативы ConstraintLayout?	<ul><li><b>LazyColumn</b>. Вертикальный список с ленивой и умной подгрузкой элементов.</li><pre><code class="language-kotlin">    @Composable<br>    fun MessagesList(messages: List&lt;String&gt;) {<br>        LazyColumn(<br>            verticalArrangement = Arrangement.spacedBy(8.dp),<br>            contentPadding = PaddingValues(16.dp)<br>        ) {<br>            items(messages) { msg -&gt; Text(msg) }<br>        }<br>    }</code></pre></ul><ul><li><b>LazyRow</b>. Горизонтальный список с ленивой и умной подгрузкой элементов.</li><pre><code class="language-kotlin">    LazyRow(horizontalArrangement = Arrangement.spacedBy(8.dp)) {<br>        items(10) { index -&gt; Text("Item $index") }<br>    }</code></pre><li><b>LazyVerticalGrid</b>. Ленивый грид по вертикали.</li><pre><code class="language-kotlin">    LazyVerticalGrid(<br>        columns = GridCells.Adaptive(minSize = 120.dp),<br>        contentPadding = PaddingValues(8.dp)<br>    ) {<br>        items(20) { i -&gt;<br>            Box(Modifier.size(100.dp).background(Color.Gray)) { Text("$i") }<br>        }<br>    }</code></pre></ul><ul><li><b>LazyHorizontalGrid</b>. Аналогичный грид, но по горизонтали.</li><pre><code class="language-kotlin">    LazyHorizontalGrid(rows = GridCells.Fixed(2)) {<br>        items(10) { i -&gt; Text("Item $i") }<br>    }</code></pre></ul><ul><li><b>ConstraintLayout</b>. Позволяет задавать связи между элементами и родителем, создавать гибкие интерфейсы.</li><blockquote>Возможно, что устарел и использовать его крайне не рекомендуется, из-за того, что обход дерева происходит дважды.</blockquote><pre><code class="language-kotlin">    @Composable<br>    fun Header() {<br>        ConstraintLayout {<br>            val (avatar, name, button) = createRefs()<br>            Image(<br>                painterResource(id = R.drawable.ic_avatar),<br>                null,<br>                Modifier.size(48.dp).constrainAs(avatar) {<br>                    start.linkTo(parent.start)<br>                    top.linkTo(parent.top)<br>                }<br>            )<br>            Text("Ada Lovelace", Modifier.constrainAs(name) {<br>                start.linkTo(avatar.end, margin = 8.dp)<br>                centerVerticallyTo(avatar)<br>            })<br>            Button(onClick = {}, Modifier.constrainAs(button) {<br>                end.linkTo(parent.end)<br>                centerVerticallyTo(avatar)<br>            }) { Text("Follow") }<br>        }<br>    }</code></pre></ul>	android_interview jetpack_compose
Что такое Layout и SubcomposeLayout?	<blockquote>Информация может быть неточной или неполной. Какой-то код может устареть</blockquote><ul><li><b>Layout</b>. Позволяет реализовать собственную стратегию измерения и позиционирования.</li><pre><code class="language-kotlin">    @Composable<br>    fun OverlapLayout(overlap: Dp = 16.dp, content: @Composable () -&gt; Unit) =<br>        Layout(content = content) { measurables, constraints -&gt;<br>            val placeables = measurables.map { it.measure(constraints) }<br>            val width = placeables.sumOf { it.width } -<br>                overlap.roundToPx() * (placeables.size - 1)<br>            val height = placeables.maxOfOrNull { it.height } ?: 0<br>            layout(width, height) {<br>                var x = 0<br>                placeables.forEach {<br>                    it.placeRelative(x, 0)<br>                    x += it.width - overlap.roundToPx()<br>                }<br>            }<br>        }</code></pre></ul><ul><li><b>SubcomposeLayout</b>. Позволяет сабкомпозировать дочерние элементы во время измерения. Используется, если контент одного блока зависит от размеров другого.</li><pre><code class="language-kotlin">    @Composable<br>    fun BadgeLayout(main: @Composable () -&gt; Unit, badge: @Composable (IntSize) -&gt; Unit) {<br>        SubcomposeLayout { constraints -&gt;<br>            val mainPlaceables = subcompose("main", main).map { it.measure(constraints) }<br>            val size = IntSize(<br>                width = mainPlaceables.maxOf { it.width },<br>                height = mainPlaceables.maxOf { it.height }<br>            )<br>            val badgePlaceables = subcompose("badge") { badge(size) }.map { it.measure(Constraints()) }<br>            layout(size.width, size.height) {<br>                mainPlaceables.forEach { it.placeRelative(0, 0) }<br>                badgePlaceables.forEach { it.placeRelative(size.width - it.width, 0) }<br>            }<br>        }<br>    }</code></pre></ul>	android_interview jetpack_compose
Корутины	<p><b>Корутины</b> — это легковесные потоки, которые упрощают асинхронное программирование, позволяя писать асинхронный код последовательно. Они помогают избежать коллбэков и сложной цепочки промисов, делая код чище и понятнее.</p>	android_interview kotlin_coroutines_flow
suspend	<p>Ключевое слово <b>suspend</b> используется для маркировки функций, которые могут приостанавливать выполнение корутины без блокировки потока. Такие функции могут быть вызваны только из другой suspend функции или из корутины.</p>	android_interview kotlin_coroutines_flow
launch, async-await, withContext	<ul><li><b>launch</b>: Запускает новую корутину без блокировки текущего потока и возвращает ссылку на Job. Не предоставляет прямой доступ к результату выполнения.</li><li><b>async</b> и <b>await</b>: async используется для запуска корутины, которая возвращает Deferred — обещание результата. await используется для ожидания этого результата без блокировки потока.</li><li><b>withContext</b>: Позволяет изменить контекст выполнения корутины, например, для переключения между потоками, и возвращает результат выполнения блока кода.</li></ul>	android_interview kotlin_coroutines_flow
Dispatchers	<ul><li><b>Dispatchers.Main</b>  Используется для выполнения корутин в главном потоке пользовательского интерфейса (UI). Это критически важно для Android разработки, поскольку изменения UI должны производиться в главном потоке.</li><li><b>Dispatchers.IO</b>  Предназначен для выполнения операций ввода-вывода, таких как сетевые запросы, чтение и запись файлов, операции с базами данных и т.п.</li><li><b>Dispatchers.Default</b>   Это диспетчер по умолчанию, оптимизированный для выполнения вычислительно-интенсивных задач в общем пуле фоновых потоков.</li><li><b>Dispatchers.Unconfined</b>   Этот диспетчер не привязан к конкретному потоку. Он начинает выполнение корутины в текущем потоке, но после первой приостановки, продолжение будет выполнено в потоке, который первым вызвал его.</li></ul>	android_interview kotlin_coroutines_flow
coroutineScope, coroutineContext, job, interface CoroutineScope, fun CoroutineScope	<ul><li><b>coroutineScope</b>. Это функция-билдер, которая создает новую область видимости корутины. Все корутины, запущенные внутри этой области, должны быть завершены, прежде чем <code>coroutineScope</code> вернет управление вызывающей стороне. Это полезно для структурирования кода и управления жизненным циклом группы корутин.</li></ul><pre><code class="language-kotlin">      suspend fun load(): Data = coroutineScope {<br>          val a = async { fetchA() }<br>          val b = async { fetchB() }<br>          Data(a.await(), b.await())<br>      }</code></pre><ul><li><b>coroutineContext</b>. Это свойство, доступное внутри корутины, которое содержит контекст выполнения корутины, включая <code>Job</code> и <code>Dispatcher</code>. Контекст управляет потоком выполнения, отменой и обработкой исключений.</li></ul><pre><code class="language-kotlin">      suspend fun work() = withContext(CoroutineName("Worker")) {<br>          val name = coroutineContext[CoroutineName]?.name // "Worker"<br>          withContext(Dispatchers.IO) { repo.read() }<br>      }</code></pre><ul><li><b>Job</b>. Это ключевой компонент в системе корутин Kotlin, который представляет отдельную задачу, выполнение которой может быть отменено. <code>Job</code> позволяет управлять жизненным циклом корутины, включая отмену и ожидание завершения.</li></ul><pre><code class="language-kotlin">      val parent = Job()<br>      val scope = CoroutineScope(Dispatchers.Default + parent)<br><br>      val child = scope.launch {<br>          try { longRunning() } finally { cleanup() }<br>      }<br><br>      parent.cancel()   // отменит всех потомков<br>      runBlocking { child.join() }</code></pre><ul><li><b>interface CoroutineScope</b>. Интерфейс-носитель контекста корутин. Содержит единственное свойство <code>coroutineContext</code>. Любой <code>CoroutineScope</code> может запускать корутины (<code>launch</code>, <code>async</code>), наследующие его контекст.</li></ul><pre><code class="language-kotlin">      class Repo(<br>          private val io: CoroutineDispatcher = Dispatchers.IO<br>      ) : Closeable, CoroutineScope {<br>          private val job = SupervisorJob()<br>          override val coroutineContext = job + io + CoroutineName("Repo")<br><br>          fun warmup() = launch { cache.prefetch() }<br>          override fun close() { job.cancel() }<br>      }</code></pre><ul><li><b>fun CoroutineScope</b>. Фабричная функция <code>CoroutineScope(context: CoroutineContext): CoroutineScope</code>, создающая новый скоуп на базе переданного контекста. Удобна для компонентных жизненных циклов.</li></ul><pre><code class="language-kotlin">      val scope = CoroutineScope(SupervisorJob() + Dispatchers.IO + CoroutineName("Sync"))<br><br>      scope.launch { syncAll() }<br><br>      // где-то при завершении компонента:<br>      scope.coroutineContext.cancel()</code></pre>	android_interview kotlin_coroutines_flow
lifecycleScope, viewModelScope, GlobalScope	<ul><li><b>lifecycleScope</b>: Привязан к жизненному циклу <b>Activity</b> или <b>Fragment</b> и автоматически отменяет корутину, когда компонент уничтожается.</li><li><b>viewModelScope</b>: Привязан к жизненному циклу <b>ViewModel</b> и отменяет корутины при очистке <b>ViewModel</b>.</li><li><b>GlobalScope</b>: Глобальный скоуп корутины, который не привязан к жизненному циклу и должен использоваться <b>с осторожностью</b>, так как может привести к утечкам памяти.</li></ul>	android_interview kotlin_coroutines_flow
suspendCoroutine, suspendCancellableCoroutine	<ul><li><b>suspendCoroutine</b>: Это низкоуровневая функция, которая приостанавливает текущую корутину до тех пор, пока не будет вызван один из переданных в нее колбэков. Она позволяет интегрировать корутины с асинхронными колбэк-базированными API.</li><li><b>suspendCancellableCoroutine</b>: Расширяет suspendCoroutine добавлением поддержки отмены. Если корутина, ожидающая в suspendCancellableCoroutine, отменяется, то можно обработать эту отмену и корректно завершить работу, например, освободить ресурсы.</li></ul>	android_interview kotlin_coroutines_flow
coroutineScope, supervisorScope	<ul><li><b>coroutineScope</b>: Если одна из дочерних корутин внутри coroutineScope завершается с исключением, coroutineScope отменяет все остальные дочерние корутины и пропагирует исключение дальше.</li><li><b>supervisorScope</b>: В отличие от coroutineScope, supervisorScope позволяет дочерним корутинам завершаться независимо. Если одна дочерняя корутина завершается с исключением, supervisorScope не отменяет остальные дочерние корутины. Это полезно в ситуациях, когда необходимо обеспечить независимое выполнение дочерних корутин внутри одной области видимости.</li></ul>	android_interview kotlin_coroutines_flow
run, runCatching,runBlocking,runInterruptible	<ul><li><b>run</b>. Синхронная scope-функция stdlib. Выполняет блок и возвращает результат. Есть форма-расширение receiver.run { ... }, где this — ресивер. Удобна для локальной инициализации и изоляции временных переменных</li><pre><code class="language-kotlin">    val url = run {<br>        val host = "example.com"<br>        "https://$host/api"<br>    }<br><br>    data class User(val name: String, var age: Int)<br>    val label = User("Ana", 30).run { "$name ($age)" }</code></pre><li><b>runCatching</b>. Синхронная stdlib. Выполняет блок и возвращает Result&lt;T&gt;: Success или Failure(Throwable). Есть и как топ-левел, и как extension. Удобна для функциональной обработки ошибок без try/catch</li><pre><code class="language-kotlin">    val result: Result&lt;Int&gt; = runCatching { risky() }<br>    val value = result.getOrElse { fallback() }<br>    // или с ресивером:<br>    val parsed = "42".runCatching { toInt() }.getOrNull()</code></pre><li><b>runBlocking</b> (kotlinx.coroutines). Запускает корутину и БЛОКИРУЕТ текущий поток до завершения. Применение: мост из блокирующего к suspend-коду, обычно в main и тестах. Нельзя вызывать из suspend и UI-корутин. Риск блокировки пула потоков.</li><pre><code class="language-kotlin">    fun main() = runBlocking {<br>        val data = fetchSuspend()<br>        println(data)<br>    }<br></code></pre><li><b>runInterruptible</b> (kotlinx.coroutines). suspend-функция для ВЫПОЛНЕНИЯ БЛОКИРУЮЩЕГО КОДА с поддержкой прерывания через отмену корутины. При cancel() прерывает блок и кидает CancellationException. Полезна для I/O и вызовов, поддерживающих Thread.interrupt(). Можно передать контекст для выделенного диспетчера</li><pre><code class="language-kotlin">    withContext(Dispatchers.IO) {<br>        runInterruptible {<br>            blockingChannel.readFully(buffer) // прерываемо по cancel()<br>        }<br>    }</code></pre></ul><p>### Flow</p>	android_interview kotlin_coroutines_flow
Что такое Flow?	<p><code>Flow</code> в Kotlin – это тип, который может асинхронно предоставлять значения. Он поддерживает асинхронные потоки данных и используется для представления значений, которые могут быть доступны в будущем. <code>Flow</code> позволяет управлять асинхронным кодом более удобно и функционально.</p>	android_interview kotlin_coroutines_flow
Flow vs Coroutines	<p>В сопрограммах поток — это тип, который может выдавать несколько значений последовательно, в отличие от suspend функций, которые возвращают только одно значение</p>	android_interview kotlin_coroutines_flow
Flow Builder, Operator, Collector	<ul><li><code>Flow</code> создаётся с помощью <code>builder</code> функций. Самый базовый builder – это <code>flow {}</code>, внутри которого вы можете отправлять значения с помощью <code>emit()</code>.</li><li><code>Операторы Flow</code> позволяют трансформировать, фильтровать, комбинировать и выполнять другие операции с потоками данных. Например, <code>map</code> и <code>filter</code>.</li><li><code>Collector</code> – это терминальная операция, которая запускает выполнение flow и обрабатывает каждое значение, отправленное в поток. В примерах выше использовался collect {} как коллектор.</li></ul>	android_interview kotlin_coroutines_flow
flowOn, Dispatchers	<p><b>flowOn</b> позволяет изменить контекст выполнения операций внутри потока (Flow). Это особенно полезно, когда тяжелые операции должны выполняться в фоновом потоке, а результаты обрабатываться в основном потоке</p><pre><code class="language-kotlin">  import kotlinx.coroutines.*<br>  import kotlinx.coroutines.flow.*<br><br>  fun main() = runBlocking {<br>    flow {<br>        for (i in 1..3) {<br>            Thread.sleep(100) // Имитация длительной операции<br>            emit(i)<br>        }<br>    }.flowOn(Dispatchers.Default) // Выполнение в фоновом потоке<br>    .map { value -&gt;<br>        "Преобразованное значение $value"<br>    }<br>    .collect { value -&gt;<br>        println("$value на потоке ${Thread.currentThread().name}")<br>    }<br>  }</code></pre>	android_interview kotlin_coroutines_flow
Операторы, такие как filter, map, zip, flatMapConcat, retry, debounce, distinctUntilChanged, flatMapLatest	<ul><li><b>filter</b>: Отфильтровывает элементы, не соответствующие условию.</li><li><b>map</b>: Преобразует элементы в другие объекты.</li><li><b>zip</b>: Комбинирует два потока данных, сопоставляя их элементы.</li><li><b>flatMapConcat</b>: Преобразует каждый элемент в поток и объединяет эти потоки последовательно.</li><li><b>retry</b>: Повторяет поток при возникновении ошибки.</li><li><b>debounce</b>: Эмитирует элементы с задержкой, игнорируя быстро последующие элементы.</li><li><b>distinctUntilChanged</b>: Пропускает элементы, значение которых отличается от предыдущего.</li><li><b>flatMapLatest</b>: Аналогично flatMapConcat, но при появлении нового элемента отменяет предыдущий преобразованный поток.</li></ul>	android_interview kotlin_coroutines_flow
Терминальные операторы	<p><b>Терминальные операторы</b> - это те, которые запускают выполнение потока и обычно возвращают результат или вызывают сайд-эффекты (например, collect, toList, toSet, first, reduce).</p>	android_interview kotlin_coroutines_flow
Cold Flow против Hot Flow	<ul><li><b>Cold Flow</b>: Не начинает выполнение до вызова терминального оператора, обеспечивая ленивость и удобство создания потоков данных.</li><li><b>Hot Flow</b>: Активен независимо от наличия подписчиков, подходит для представления данных, которые изменяются во времени (например, пользовательский ввод).</li></ul>	android_interview kotlin_coroutines_flow
StateFlow, SharedFlow, callbackFlow, channelFlow	<ul><li><b>StateFlow</b>: Хранит текущее состояние и извещает подписчиков о его изменении. Это Hot Flow. Требуется начальное значение, и он выдает его, как только коллектор начинает собирать данные. Он не выдает последовательные повторяющиеся значения. Он выдает значение только в том случае, если оно отличается от предыдущего элемента.</li><li><b>SharedFlow</b>: Более общий Hot Flow, который может репрезентировать множество значений и имеет более гибкие настройки. Не требует начального значения, поэтому по умолчанию не выдает никаких значений. Он выдает все значения и не заботится об отличиях от предыдущего элемента. Он также выдает последовательные повторяющиеся значения.</li><li><b>callbackFlow</b> и <b>channelFlow</b>: Позволяют создавать потоки на основе коллбэков или событий, удобно применять для интеграции с API, основанными на коллбэках.</li></ul>	android_interview kotlin_coroutines_flow
StateIn, SharedIn	<p>Эти операторы используются для преобразования Cold Flow в Hot Flow (StateFlow или SharedFlow соответственно), делая поток активным и позволяя сохранять текущее состояние или делиться им сразу с несколькими подписчиками.</p><p>### Практика и тонкости</p>	android_interview kotlin_coroutines_flow
Как бы Вы реализовали перевод синхронного кода в асинхронный с помощью Coroutines?	<ul><li><b>callbackFlow</b></li><pre><code class="language-kotlin">import kotlinx.coroutines.channels.awaitClose<br>import kotlinx.coroutines.flow.Flow<br>import kotlinx.coroutines.flow.callbackFlow<br>import okhttp3.*<br>import okio.ByteString<br><br>fun OkHttpClient.webSocketFlow(url: String): Flow&lt;String&gt; = <br>    callbackFlow {<br>        val req = Request.Builder().url(url).build()<br>        val listener = object : WebSocketListener() {<br>            override fun onOpen(ws: WebSocket, response: Response) { /* optional */ }<br>            override fun onMessage(ws: WebSocket, text: String) { trySend(text).isSuccess }<br>            override fun onMessage(ws: WebSocket, bytes: ByteString) { trySend(bytes.utf8()).isSuccess }<br>            override fun onClosing(ws: WebSocket, code: Int, reason: String) { ws.close(code, reason); close() }<br>            override fun onFailure(ws: WebSocket, t: Throwable, r: Response?) { close(t) }<br>        }<br>        val ws = newWebSocket(req, listener)<br><br>        awaitClose { ws.cancel() } // или ws.close(NORMAL_CLOSURE, null)<br>    }</code></pre><li><b>suspendCancellableCoroutine</b></li><pre><code class="language-kotlin">import kotlinx.coroutines.suspendCancellableCoroutine<br>import okhttp3.*<br>import java.io.IOException<br>import kotlin.coroutines.resume<br>import kotlin.coroutines.resumeWithException<br><br>suspend fun OkHttpClient.getBody(url: String): String =<br>    suspendCancellableCoroutine { cont -&gt;<br>    val req = Request.Builder().url(url).build()<br>    val call = newCall(req)<br><br>        cont.invokeOnCancellation { call.cancel() }<br><br>        call.enqueue(object : Callback {<br>            override fun onFailure(call: Call, e: IOException) {<br>                if (!cont.isCancelled) cont.resumeWithException(e)<br>            }<br>            override fun onResponse(call: Call, response: Response) {<br>                response.use {<br>                    if (!it.isSuccessful) {<br>                        cont.resumeWithException(IOException("HTTP ${it.code}"))<br>                    } else {<br>                        cont.resume(it.body?.string().orEmpty())<br>                    }<br>                }<br>            }<br>        })<br>}</code></pre></ul>	android_interview kotlin_coroutines_flow
Как бы Вы реализовали перевод синхронного кода в асинхронный с помощью Coroutines?	TODO	android_interview kotlin_coroutines_flow
Как бы Вы реализовали перевод группу синхронного кода в асинхронный с помощью Coroutines? (multiple requests from old okhttp to new okhttp)	TODO	android_interview kotlin_coroutines_flow
В чем разница между Java и Kotlin?	<ul><li><b>Языковые особенности</b>: Kotlin предоставляет более современный синтаксис, поддерживает функциональное программирование, null-безопасность, extension functions, и множество других возможностей, которых нет в Java.</li><li><b>Совместимость</b>: Kotlin полностью совместим с Java, позволяя использовать Java-библиотеки и фреймворки. В то же время, Kotlin предлагает более краткий и выразительный синтаксис.</li><li><b>Компиляция</b>: Kotlin компилируется в байт-код JVM, как и Java, но также может компилироваться в JavaScript или в исполняемый код для платформы Android и iOS через Kotlin/Native.</li></ul>	android_interview kotlin
Каково преимущество использования const в Kotlin?	<p><code>const</code> используется для определения компиляционных констант. Значения, объявленные как const, встраиваются непосредственно в код в места их использования, что улучшает производительность и уменьшает количество объектов во время выполнения.</p>	android_interview kotlin
Когда использовать ключевое слово lateinit в Kotlin?	<p><code>lateinit</code> используется для отложенной инициализации переменных, тип которых не может быть null. Это позволяет объявить переменную без начальной инициализации и инициализировать ее позже.</p>	android_interview kotlin
Что такое inline функция в Kotlin?	<p><code>Inline</code> функции встраивают код функции в место ее вызова, что уменьшает накладные расходы на вызов функций, особенно полезно для функций с лямбда-параметрами.</p>	android_interview kotlin
Что такое companion object в Kotlin?	<p><code>Companion object</code> позволяет объявить члены класса, доступные без создания экземпляра этого класса, аналогично статическим членам в Java.</p>	android_interview kotlin
Удаление дубликатов из массива в Kotlin	<p>Для удаления дубликатов можно использовать distinct() или преобразовать массив в Set.</p>	android_interview kotlin
Что такое аннотация JvmStatic в Kotlin?	<p><code>@JvmStatic</code> используется в companion object для указания, что аннотированный член должен быть сгенерирован как статический метод в Java.</p>	android_interview kotlin
Что такое аннотация JvmField в Kotlin?	<p><code>@JvmField</code> предотвращает генерацию геттеров и сеттеров для переменной, делая ее публичным полем в Java.</p>	android_interview kotlin
Что такое аннотация JvmOverloads в Kotlin?	<p><code>@JvmOverloads</code> генерирует перегруженные версии функций для Java, предоставляя значения по умолчанию для параметров.</p>	android_interview kotlin
noinline в Kotlin	<p>noinline используется для указания, что лямбда-параметр не должен инлайниться, например, если он передается в другую функцию как аргумент или сохраняется в переменной.</p><pre><code class="language-kotlin">  inline fun foo(inlined: () -&gt; Unit, noinline notInlined: () -&gt; Unit) { }</code></pre>	android_interview kotlin
crossinline в Kotlin	<p><code>crossinline</code> гарантирует, что лямбда-выражение не будет содержать нелокальных возвратов, то есть возвратов из внешней функции.</p><pre><code class="language-kotlin">  inline fun withoutCrossinline(block: () -&gt; Unit) {<br>    println("Before block")<br>    block() // Этот блок может содержать нелокальный return<br>    println("After block") // Этот код может быть пропущен, если в block() есть нелокальный return<br>  }<br><br>  inline fun withCrossinline(crossinline block: () -&gt; Unit) {<br>    println("Before block")<br>    block() // Этот блок не может содержать нелокальный return из-за crossinline<br>    println("After block") // Этот код будет выполнен после block() независимо от содержимого block<br>  }<br><br>  fun main() {<br>    withoutCrossinline {<br>        println("Inside block")<br>        return // Нелокальный возврат: выходит из main(), не достигая "After block"<br>    }<br><br>    withCrossinline {<br>      println("Inside block")<br>      // return // Ошибка: нелокальные возвраты запрещены в лямбде с crossinline<br>    }<br>  }</code></pre>	android_interview kotlin
Функции области видимости в Kotlin	<p>Функции области видимости (<code>let</code>, <code>run</code>, <code>with</code>, <code>apply</code>, <code>also</code>) позволяют упростить работу с объектами, временно изменяя их контекст или обеспечивая дополнительную область видимости для выполнения кода.</p>	android_interview kotlin
Что такое ключевое слово reified в Kotlin?	<p><code>reified</code> используется с <code>inline</code> функциями для сохранения типов во время выполнения, позволяя работать с ними как с обычными классами, не теряя информацию о типе.</p><pre><code class="language-kotlin">  inline fun &lt;T&gt; myGenericFunction(clazz: Class&lt;T&gt;, item: Any) {<br>    if (item is T) { // Ошибка: Cannot check for instance of erased type: T<br>        println("Item is of type T")<br>    }<br>  }<br><br>  inline fun &lt;reified T&gt; myGenericFunction(item: Any) {<br>    if (item is T) { // Теперь это работает, так как T является reified типом<br>        println("Item is of type T")<br>    }<br>  }</code></pre>	android_interview kotlin
lateinit против lazy в Kotlin	<p>lateinit используется для отложенной инициализации мутабельных переменных, а lazy - для иммутабельных переменных, инициализируемых при первом обращении.</p>	android_interview kotlin
Что такое блок init в Kotlin?	<p>Инициализационный блок init используется для выполнения кода в момент создания экземпляра класса.</p>	android_interview kotlin
Разница между == и === в Kotlin	<p><code>==</code> проверяет равенство значений, в то время как <code>===</code> проверяет идентичность объектов (ссылаются ли переменные на один и тот же объект в памяти).</p>	android_interview kotlin
Что такое функции высшего порядка в Kotlin?	<p>Функции высшего порядка - это функции, которые принимают функции в качестве параметров или возвращают их. Это позволяет создавать выразительный и гибкий код.</p>	android_interview kotlin
Что такое Лямбды в Kotlin?	<p>Лямбда-выражения или лямбды - это короткие блоки кода, которые могут быть переданы в функции высшего порядка.</p>	android_interview kotlin
AssociateBy - List to Map в Kotlin	<p><code>associateBy</code> - это функция коллекций, которая создает <code>Map</code> из <code>List</code>, используя предоставленную функцию для определения ключей.</p>	android_interview kotlin
Ключевое слово Open в Kotlin	<p>В Kotlin все классы по умолчанию закрыты (<code>final</code>) для наследования. Чтобы класс мог быть унаследован, он должен быть помечен как <code>open</code>.</p>	android_interview kotlin
Модификатор видимости internal в Kotlin	<p><code>internal</code> делает член класса видимым только внутри модуля, в котором он объявлен.</p>	android_interview kotlin
partition - функция фильтрации в Kotlin	<p><code>partition</code> разделяет коллекцию на пару списков по условию: один для элементов, соответствующих условию, и один для остальных.</p><pre><code class="language-kotlin">  val (positives, negatives) = list.partition { it &gt; 0 }</code></pre>	android_interview kotlin
infix в Kotlin	<p><code>infix</code> позволяет вызывать функции с одним параметром без скобок и точки.</p><pre><code class="language-kotlin">  infix fun Int.add(other: Int): Int = this + other<br>  val sum = 1 add 2</code></pre>	android_interview kotlin
Как работает Kotlin Multiplatform?	<p>Kotlin Multiplatform - это фреймворк, позволяющий разрабатывать кросс-платформенные приложения, используя Kotlin. Код, не зависящий от платформы, пишется один раз и может быть использован на разных платформах.</p>	android_interview kotlin
Приостанавливающие vs Блокирующие функции в Kotlin Coroutines	<ul><li>Приостанавливающие функции (<code>suspend</code>) позволяют асинхронно выполнять длительные операции без блокирования потока.</li><li>Блокирующие операции заставляют поток ожидать завершения операции.</li></ul>	android_interview kotlin
Расскажите некоторые преимущества Kotlin.	<p>Kotlin предлагает безопасность по отношению к null, сокращенный и более читаемый синтаксис по сравнению с Java, поддержку функционального программирования, совместимость с Java, поддержку корутин для асинхронного программирования.</p>	android_interview kotlin
В чем разница между val и var?	<p><code>val</code> объявляет иммутабельную переменную (константу), значение которой не может быть изменено после инициализации. <code>var</code> объявляет мутабельную переменную, значение которой может быть изменено.</p>	android_interview kotlin
Как проверить, инициализирована ли переменная lateinit?	<pre><code class="language-kotlin">  if (::name.isInitialized) {<br>    println(name)<br>  }</code></pre>	android_interview kotlin
Как выполнить ленивую инициализацию переменных в Kotlin?	<p><code>lazy</code> предоставляет механизм ленивой инициализации для <code>val</code>, когда значение инициализируется только при первом обращении к переменной.</p><pre><code class="language-kotlin">  val lazyValue: String by lazy {<br>    println("computed!")<br>    "Hello"<br>  }</code></pre>	android_interview kotlin
Какие существуют модификаторы видимости в Kotlin?	<p>Kotlin предоставляет четыре модификатора видимости: <code>private</code>, <code>protected</code>, <code>internal</code>, и <code>public</code> (по умолчанию). <code>private</code> ограничивает видимость областью объявления, <code>protected</code> также как <code>private</code>, но видимо в подклассах, <code>internal</code> видимо в пределах одного модуля, <code>public</code> видимо везде.</p>	android_interview kotlin
Что является эквивалентом статических методов Java в Kotlin?	<p>В Kotlin нет прямого эквивалента статических методов Java, но можно использовать <code>companion object</code> или объектные объявления (object) для создания функций, доступных без экземпляра класса.</p>	android_interview kotlin
